"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Sierra Leone","SLE","Tariff rate, most favored nation, weighted mean, all products (%)","TM.TAX.MRCH.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.32","","14.33","","","","10.31","9.91","10.41","","","","","","","",
"Sierra Leone","SLE","Tariff rate, applied, weighted mean, all products (%)","TM.TAX.MRCH.WM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.32","","14.33","","","","10.26","9.81","10.31","","","","","","","",
"Sierra Leone","SLE","Share of tariff lines with specific rates, all products (%)","TM.TAX.MRCH.SR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","","","","0.2917098","0.38076","0.4232082","","","","","","","",
"Sierra Leone","SLE","Tariff rate, most favored nation, simple mean, all products (%)","TM.TAX.MRCH.SM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.67","","13.36","","","","11.87","11.87","11.87","","","","","","","",
"Sierra Leone","SLE","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.93","","14.62","","","","12.87","12.91","12.88","","","","","","","",
"Sierra Leone","SLE","Share of tariff lines with international peaks, all products (%)","TM.TAX.MRCH.IP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.16647","","54.83519","","","","49.71299","49.81739","49.87031","","","","","","","",
"Sierra Leone","SLE","Bound rate, simple mean, all products (%)","TM.TAX.MRCH.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.36","","47.36","","","","47.41","47.41","47.41","","","","","","","",
"Sierra Leone","SLE","Binding coverage, all products (%)","TM.TAX.MRCH.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.96","","99.96","","","","99.98","99.98","99.98","","","","","","","",
"Sierra Leone","SLE","Tariff rate, most favored nation, weighted mean, manufactured products (%)","TM.TAX.MANF.WM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.33","","11.66","","","","9.2","9.04","9.56","","","","","","","",
"Sierra Leone","SLE","Tariff rate, applied, weighted mean, manufactured products (%)","TM.TAX.MANF.WM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.33","","11.66","","","","9.14","8.92","9.45","","","","","","","",
"Sierra Leone","SLE","Share of tariff lines with specific rates, manufactured products (%)","TM.TAX.MANF.SR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","","","","0.2838973","0.3804089","0.4168029","","","","","","","",
"Sierra Leone","SLE","Tariff rate, most favored nation, simple mean, manufactured products (%)","TM.TAX.MANF.SM.FN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.73","","13.38","","","","11.59","11.59","11.59","","","","","","","",
"Sierra Leone","SLE","Tariff rate, applied, simple mean, manufactured products (%)","TM.TAX.MANF.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.29","","13.84","","","","12.37","12.35","12.4","","","","","","","",
"Sierra Leone","SLE","Share of tariff lines with international peaks, manufactured products (%)","TM.TAX.MANF.IP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.01086","","51.37787","","","","46.51374","46.27675","46.98431","","","","","","","",
"Sierra Leone","SLE","Bound rate, simple mean, manufactured products (%)","TM.TAX.MANF.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.15","","48.15","","","","48.19","48.19","48.19","","","","","","","",
"Sierra Leone","SLE","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5","","","","","","","","","","5.57719993591309","","","","","",
"Sierra Leone","SLE","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.09400010108948","2.16000008583069","2.33899998664856","2.37400007247925","2.38499999046326","2.39800000190735","2.43099999427795","2.42300009727478","2.47499990463257","2.4779999256134","2.40000009536743","2.42000007629395","2.36500000953674","2.29299998283386","2.37800002098084","2.3840000629425","2.38800001144409","2.49000000953674","3.02600002288818","3.04200005531311","3.12700009346008","3.37199997901917","3.65599989891052","3.84100008010864","3.94400000572205","3.91799998283386","3.57100009918213","3.52900004386902","3.53399991989136",
"Sierra Leone","SLE","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.25999999046326","","","","","","","","","","3.87800002098084","","","","","",
"Sierra Leone","SLE","Share of youth not in education, employment or training, total (% of youth population)","SL.UEM.NEET.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.0902004241943","","","","","",
"Sierra Leone","SLE","Share of youth not in education, employment or training, male (% of male youth population)","SL.UEM.NEET.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.48169994354248","","","","","",
"Sierra Leone","SLE","Share of youth not in education, employment or training, female (% of female youth population)","SL.UEM.NEET.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.6450996398926","","","","","",
"Sierra Leone","SLE","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4070997238159","","","","","",
"Sierra Leone","SLE","Unemployment with intermediate education, male (% of male labor force with intermediate education)","SL.UEM.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8655996322632","","","","","",
"Sierra Leone","SLE","Unemployment with intermediate education, female (% of female labor force with intermediate education)","SL.UEM.INTM.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.37800025939941","","","","","",
"Sierra Leone","SLE","Unemployment with basic education (% of total labor force with basic education)","SL.UEM.BASC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.49550008773804","","","","","",
"Sierra Leone","SLE","Unemployment with basic education, male (% of male labor force with basic education)","SL.UEM.BASC.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.81430006027222","","","","","",
"Sierra Leone","SLE","Unemployment with basic education, female (% of female labor force with basic education)","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.14010000228882","","","","","",
"Sierra Leone","SLE","Unemployment with advanced education (% of total labor force with advanced education)","SL.UEM.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.520299911499","","","","","",
"Sierra Leone","SLE","Unemployment with advanced education, male (% of male labor force with advanced education)","SL.UEM.ADVN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3309001922607","","","","","",
"Sierra Leone","SLE","Unemployment with advanced education, female (% of female labor force with advanced education)","SL.UEM.ADVN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.8717002868652","","","","","",
"Sierra Leone","SLE","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.82200002670288","4.81300020217896","5.14900016784668","5.17700004577637","5.29500007629395","5.22599983215332","5.31699991226196","5.27699995040894","5.47100019454956","5.3289999961853","5.1729998588562","5.26000022888184","5.18800020217896","5.03499984741211","5.25699996948242","5.37900018692017","5.4850001335144","5.83199977874756","6.92399978637695","6.69099998474121","6.80999994277954","7.6399998664856","8.77700042724609","9.37800025939941","9.62199974060059","9.40200042724609","8.72599983215332","8.51099967956543","8.48499965667725",
"Sierra Leone","SLE","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.15000009536743","","","","","","","","","","9.44939994812012","","","","","",
"Sierra Leone","SLE","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.88800001144409","6.79899978637695","7.23999977111816","7.25699996948242","7.44799995422363","7.29699993133545","7.43800020217896","7.38899993896484","7.67399978637695","7.43499994277954","7.23799991607666","7.38000011444092","7.2979998588562","7.07600021362305","7.43599987030029","7.70800018310547","7.96700000762939","8.55099964141846","10.0419998168945","9.56999969482422","9.71700000762939","11.1999998092651","13.21399974823","14.2209997177124","14.5559997558594","14.2709999084473","13.3540000915527","12.9750003814697","12.9440002441406",
"Sierra Leone","SLE","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.26999998092651","","","","","","","","","","14.7728004455566","","","","","",
"Sierra Leone","SLE","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.25699996948242","3.30399990081787","3.55699992179871","3.59200000762939","3.65499997138977","3.64499998092651","3.69700002670288","3.66599988937378","3.79200005531311","3.72000002861023","3.59100008010864","3.63700008392334","3.57299995422363","3.4449999332428","3.57100009918213","3.59200000762939","3.59500002861023","3.78099989891052","4.59200000762939","4.55700016021729","4.67500019073486","5.05200004577637","5.58400011062622","5.92700004577637","6.14400005340576","6.00600004196167","5.53200006484985","5.44099998474121","5.42999982833862",
